From,To
14542IIED,/bm/14542IIED
10005IIED,/fr/10005IIED
10008IIED,/fr/10008IIED
10612IIED,/fr/10612IIED
10835FIIED,/fr/10835FIIED
10838FIIED,/fr/10838FIIED
10843FIIED,/fr/10843FIIED
10854IIED,/fr/10854IIED
12545FIIED,/fr/12545FIIED
12576FIIED,/fr/12576FIIED
12597FIIED,/fr/12597FIIED
14642IIED,/fr/14642IIED
17577IIED,/fr/17577IIED
17607FIIED,/fr/17607FIIED
17609FIIED,/fr/17609FIIED
17634FIIED,/fr/17634FIIED
6022IIED,/fr/6022IIED
7334IIED,/fr/7334IIED
7359IIED,/fr/7359IIED
7361IIED,/fr/7361IIED
7387IIED,/fr/7387IIED
7406FIIED,/fr/7406FIIED
7522IIED,/fr/7522IIED
7538IIED,/fr/7538IIED
7539IIED,/fr/7539IIED
7541IIED,/fr/7541IIED
7542IIED,/fr/7542IIED
7548IIED,/fr/7548IIED
7780IIED,/fr/7780IIED
7783IIED,/fr/7783IIED
9004IIED,/fr/9004IIED
9019IIED,/fr/9019IIED
9022IIED,/fr/9022IIED
9068IIED,/fr/9068IIED
9069IIED,/fr/9069IIED
9070IIED,/fr/9070IIED
9071IIED,/fr/9071IIED
9118IIED,/fr/9118IIED
9119IIED,/fr/9119IIED
9145IIED,/fr/9145IIED
9146IIED,/fr/9146IIED
9148IIED,/fr/9148IIED
9149IIED,/fr/9149IIED
9157IIED,/fr/9157IIED
9174IIED,/fr/9174IIED
9180IIED,/fr/9180IIED
9182IIED,/fr/9182IIED
9184IIED,/fr/9184IIED
9234IIED,/fr/9234IIED
9258IIED,/fr/9258IIED
9277IIED,/fr/9277IIED
9278IIED,/fr/9278IIED
9301IIED,/fr/9301IIED
9306FIIED,/fr/9306FIIED
9317FIIED,/fr/9317FIIED
9318FIIED,/fr/9318FIIED
9514IIED,/fr/9514IIED
G00036,/fr/G00036
G00085,/fr/G00085
G00240,/fr/G00240
G00260,/fr/G00260
G00375,/fr/G00375
G00634,/fr/G00634
G00635,/fr/G00635
G00718,/fr/G00718
G00727,/fr/G00727
G00771,/fr/G00771
G01058,/fr/G01058
G01059,/fr/G01059
G01060,/fr/G01060
G01061,/fr/G01061
G01062,/fr/G01062
G01063,/fr/G01063
G01064,/fr/G01064
G01093,/fr/G01093
G01095,/fr/G01095
G01096,/fr/G01096
G01221,/fr/G01221
G01231,/fr/G01231
G01243,/fr/G01243
G01244,/fr/G01244
G01248,/fr/G01248
G02307,/fr/G02307
G02308,/fr/G02308
G02320,/fr/G02320
G02368,/fr/G02368
G02466,/fr/G02466
G02725,/fr/G02725
G02753,/fr/G02753
G02792,/fr/G02792
G03001,/fr/G03001
G03009,/fr/G03009
G03010,/fr/G03010
G03013,/fr/G03013
G03015,/fr/G03015
G03039,/fr/G03039
G03040,/fr/G03040
G03041,/fr/G03041
G03043,/fr/G03043
G03054,/fr/G03054
G03147,/fr/G03147
G03255,/fr/G03255
G03267,/fr/G03267
G03422,/fr/G03422
G03460,/fr/G03460
G03462,/fr/G03462
G03643,/fr/G03643
G03760,/fr/G03760
G03877,/fr/G03877
G03924,/fr/G03924
G03981,/fr/G03981
G03982,/fr/G03982
G03997,/fr/G03997
G03998,/fr/G03998
G03999,/fr/G03999
G04006,/fr/G04006
G04007,/fr/G04007
G04047,/fr/G04047
G04048,/fr/G04048
G04104,/fr/G04104
G04105,/fr/G04105
G04106,/fr/G04106
G04131,/fr/G04131
G04175,/fr/G04175
G04181,/fr/G04181
G04200,/fr/G04200
G04201,/fr/G04201
G04202,/fr/G04202
G04203,/fr/G04203
G04205,/fr/G04205
G04206,/fr/G04206
G04207,/fr/G04207
G04208,/fr/G04208
G04209,/fr/G04209
G04210,/fr/G04210
G04211,/fr/G04211
G04212,/fr/G04212
G04213,/fr/G04213
G04214,/fr/G04214
G04215,/fr/G04215
G04216,/fr/G04216
G04217,/fr/G04217
G04218,/fr/G04218
G04219,/fr/G04219
G04220,/fr/G04220
G04221,/fr/G04221
G04223,/fr/G04223
G04224,/fr/G04224
G04225,/fr/G04225
G04226,/fr/G04226
G04229,/fr/G04229
G04230,/fr/G04230
G04231,/fr/G04231
G04232,/fr/G04232
G04235,/fr/G04235
G04236,/fr/G04236
G04239,/fr/G04239
G04253,/fr/G04253
G04254,/fr/G04254
G04256,/fr/G04256
G04262,/fr/G04262
G04263,/fr/G04263
G04264,/fr/G04264
G04379,/fr/G04379
G04383,/fr/G04383
G04384,/fr/G04384
G04385,/fr/G04385
G04386,/fr/G04386
G04387,/fr/G04387
G04390,/fr/G04390
G04393,/fr/G04393
G04394,/fr/G04394
G04395,/fr/G04395
G04433,/fr/G04433
G04434,/fr/G04434
X00197,/fr/X00197
X170IIED,/fr/X170IIED
X171IIED,/fr/X171IIED
X173IIED,/fr/X173IIED
G00353,/id/G00353
G00402,/id/G00402
X00080,/pl/X00080
10007IIED,/pt-pt/10007IIED
10009IIED,/pt-pt/10009IIED
13516IIED,/pt-pt/13516IIED
13517IIED,/pt-pt/13517IIED
13518IIED,/pt-pt/13518IIED
13519IIED,/pt-pt/13519IIED
13562IIED,/pt-pt/13562IIED
13563IIED,/pt-pt/13563IIED
13570IIED,/pt-pt/13570IIED
13589PIIED,/pt-pt/13589PIIED
13590PIIED,/pt-pt/13590PIIED
13591PIIED,/pt-pt/13591PIIED
13592PIIED,/pt-pt/13592PIIED
13601PIIED,/pt-pt/13601PIIED
9227IIED,/pt-pt/9227IIED
9275IIED,/pt-pt/9275IIED
9515IIED,/pt-pt/9515IIED
G00043,/pt-pt/G00043
G00339,/pt-pt/G00339
G00580,/pt-pt/G00580
G00710,/pt-pt/G00710
G00716,/pt-pt/G00716
G01025,/pt-pt/G01025
G01074,/pt-pt/G01074
G01257,/pt-pt/G01257
G01259,/pt-pt/G01259
G01261,/pt-pt/G01261
G01262,/pt-pt/G01262
G01285,/pt-pt/G01285
G02479,/pt-pt/G02479
G02605,/pt-pt/G02605
G03355,/pt-pt/G03355
G03356,/pt-pt/G03356
G03379,/pt-pt/G03379
G03552,/pt-pt/G03552
G03907,/pt-pt/G03907
G03908,/pt-pt/G03908
G03961,/pt-pt/G03961
G03962,/pt-pt/G03962
G03963,/pt-pt/G03963
G03964,/pt-pt/G03964
G03965,/pt-pt/G03965
X00048,/pt-pt/X00048
G00575,/ru/G00575
G02397,/ru/G02397
G02398,/ru/G02398
G02399,/ru/G02399
G02750,/ru/G02750
G02758,/ru/G02758
G02759,/ru/G02759
G02762,/ru/G02762
G02763,/ru/G02763
G02766,/ru/G02766
G02767,/ru/G02767
G03211,/ru/G03211
G03218,/ru/G03218
G03219,/ru/G03219
G03220,/ru/G03220
G03221,/ru/G03221
G03369,/ru/G03369
16642SIIIED,/si/16642SIIIED
10006IIED,/es/10006IIED
10010IIED,/es/10010IIED
13568SIIED,/es/13568SIIED
16547IIED,/es/16547IIED
9006IIED,/es/9006IIED
9158IIED,/es/9158IIED
9176IIED,/es/9176IIED
9272IIED,/es/9272IIED
9273IIED,/es/9273IIED
9274IIED,/es/9274IIED
9307SIIED,/es/9307SIIED
9315SIIED,/es/9315SIIED
G00068,/es/G00068
G00086,/es/G00086
G00087,/es/G00087
G00308,/es/G00308
G00376,/es/G00376
G00421,/es/G00421
G00530,/es/G00530
G00579,/es/G00579
G00581,/es/G00581
G00582,/es/G00582
G00583,/es/G00583
G00584,/es/G00584
G00585,/es/G00585
G00586,/es/G00586
G00587,/es/G00587
G00588,/es/G00588
G00589,/es/G00589
G00590,/es/G00590
G00623,/es/G00623
G00636,/es/G00636
G00673,/es/G00673
G00674,/es/G00674
G00675,/es/G00675
G00676,/es/G00676
G00677,/es/G00677
G00678,/es/G00678
G00679,/es/G00679
G00680,/es/G00680
G00681,/es/G00681
G00682,/es/G00682
G00684,/es/G00684
G00685,/es/G00685
G00686,/es/G00686
G00687,/es/G00687
G00688,/es/G00688
G00689,/es/G00689
G00690,/es/G00690
G00691,/es/G00691
G00693,/es/G00693
G00694,/es/G00694
G00695,/es/G00695
G00696,/es/G00696
G00697,/es/G00697
G00698,/es/G00698
G00699,/es/G00699
G00700,/es/G00700
G00701,/es/G00701
G00714,/es/G00714
G00721,/es/G00721
G00731,/es/G00731
G00773,/es/G00773
G00774,/es/G00774
G00777,/es/G00777
G00778,/es/G00778
G00781,/es/G00781
G00785,/es/G00785
G00787,/es/G00787
G00789,/es/G00789
G00791,/es/G00791
G00792,/es/G00792
G00794,/es/G00794
G00796,/es/G00796
G00797,/es/G00797
G00798,/es/G00798
G00799,/es/G00799
G00800,/es/G00800
G00801,/es/G00801
G00802,/es/G00802
G00803,/es/G00803
G00804,/es/G00804
G00820,/es/G00820
G00824,/es/G00824
G00841,/es/G00841
G00855,/es/G00855
G00922,/es/G00922
G00933,/es/G00933
G00934,/es/G00934
G00935,/es/G00935
G00936,/es/G00936
G00937,/es/G00937
G00938,/es/G00938
G00939,/es/G00939
G00977,/es/G00977
G00978,/es/G00978
G01005,/es/G01005
G01009,/es/G01009
G01039,/es/G01039
G01040,/es/G01040
G01053,/es/G01053
G01068,/es/G01068
G01264,/es/G01264
G01265,/es/G01265
G02217,/es/G02217
G02339,/es/G02339
G02537,/es/G02537
G02733,/es/G02733
G03076,/es/G03076
G03078,/es/G03078
G03148,/es/G03148
G03247,/es/G03247
G03487,/es/G03487
G03876,/es/G03876
G03937,/es/G03937
X00077,/es/X00077
16635SWIIED,/sw/16635SWIIED
G02163,/te/G02163
G02615,/vi/G02615
G02618,/vi/G02618
G02619,/vi/G02619
G02622,/vi/G02622
G03237,/zh-hant/G03237
G03758,/zh-hant/G03758
G03985,/zh-hant/G03985
G03986,/zh-hant/G03986
G03987,/zh-hant/G03987
G03988,/zh-hant/G03988
G03989,/zh-hant/G03989
